precision,recall,f1,hashcode
[0.7880018949508667],[0.7764698266983032],[0.7821933627128601],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7372355461120605],[0.7806628346443176],[0.7583279609680176],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8444781303405762],[0.8115215301513672],[0.8276719450950623],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.782831609249115],[0.7773289084434509],[0.7800705432891846],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7631412148475647],[0.7420868873596191],[0.7524667978286743],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7840639352798462],[0.7698011994361877],[0.7768670916557312],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7904654741287231],[0.778303325176239],[0.7843372821807861],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8078916072845459],[0.7921717762947083],[0.7999545335769653],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7701970338821411],[0.7515477538108826],[0.7607581615447998],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7905019521713257],[0.7708810567855835],[0.7805682420730591],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8064629435539246],[0.7605413198471069],[0.782829225063324],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7822999954223633],[0.7700650691986084],[0.7761343121528625],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7631946206092834],[0.803670346736908],[0.7829096913337708],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.849311113357544],[0.8156965374946594],[0.8321645259857178],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8290968537330627],[0.7779709696769714],[0.8027206659317017],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.759994626045227],[0.7894332408905029],[0.7744342684745789],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8120710849761963],[0.799191951751709],[0.8055800795555115],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7993888258934021],[0.7924929261207581],[0.7959259152412415],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.807106077671051],[0.8090207576751709],[0.8080622553825378],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8184481263160706],[0.7859627604484558],[0.8018766045570374],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8249772191047668],[0.7810712456703186],[0.8024240732192993],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8071833848953247],[0.8099550008773804],[0.8085668683052063],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8226000666618347],[0.7849218249320984],[0.8033193349838257],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7698717713356018],[0.7580900192260742],[0.7639355063438416],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.790591299533844],[0.8023790121078491],[0.7964415550231934],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7859855890274048],[0.7807923555374146],[0.783380389213562],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7507627010345459],[0.807284414768219],[0.7779983878135681],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7928549647331238],[0.7417186498641968],[0.7664348483085632],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8408418893814087],[0.8103460073471069],[0.8253123760223389],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8082549571990967],[0.7947697043418884],[0.801455557346344],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8162798881530762],[0.7779747247695923],[0.7966670989990234],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.824290931224823],[0.7982136011123657],[0.8110427260398865],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8013579845428467],[0.7846766114234924],[0.7929296493530273],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7725029587745667],[0.7641094326972961],[0.7682832479476929],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8032689094543457],[0.7874274849891663],[0.7952693700790405],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8002479672431946],[0.7851392030715942],[0.7926215529441833],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8035292029380798],[0.7894636392593384],[0.7964343428611755],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7997602224349976],[0.8031837344169617],[0.8014683723449707],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8017346858978271],[0.8019896745681763],[0.8018621802330017],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8076038360595703],[0.8112667798995972],[0.8094311952590942],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7558212280273438],[0.7597419023513794],[0.7577764987945557],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.768903911113739],[0.7666780352592468],[0.767789363861084],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8645848035812378],[0.814426600933075],[0.8387565016746521],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7605916261672974],[0.7770901918411255],[0.76875239610672],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8017920851707458],[0.7989488840103149],[0.8003680109977722],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.804828941822052],[0.793414294719696],[0.7990808486938477],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7855842709541321],[0.7831512093544006],[0.7843658328056335],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.8248012065887451],[0.7920936942100525],[0.808116614818573],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7938417196273804],[0.7722805142402649],[0.7829127311706543],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.792388916015625],[0.781744122505188],[0.7870305180549622],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
[0.7810394167900085],[0.7725748419761658],[0.7767840623855591],roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.40.1)
